gene	Barbera_Soft	Negroamaro_Soft	Primitivo_Soft	Refosco_Soft	Sangiovese_Soft
Vitvi06g01415	548.206	404.014	429.022	288.688	327.838
Vitvi18g00481	35.4021	15.2811	40.4522	69.8003	22.6746
Vitvi18g00480	51.8561	354.363	73.7679	80.3934	32.1525
Vitvi18g00483	28.0695	31.9946	22.5641	34.4561	36.4835
Vitvi18g00482	184.652	419.416	148.471	229.258	158.999
Vitvi18g00485	486.693	649.978	578.118	457.667	542.297
Vitvi18g00487	271.082	254.173	271.483	285.389	256.969
Vitvi18g00486	486.359	479.898	386.398	371.236	461.261
Vitvi18g00489	1476.79	832.72	1085.29	971.704	1055.51
Vitvi18g00488	232.577	173.23	205.264	199.112	218.304
Vitvi06g01417	550.553	610.235	610.172	597.041	640.245
Vitvi02g00798	8.02977	1.3092	1.52918	2.94828	0
Vitvi02g00790	641.771	567.118	727.268	559.962	524.675
Vitvi02g00791	9.86943	12.0152	8.95481	20.5277	16.2932
Vitvi02g00794	169.564	169.079	165.24	146.307	140.818
Vitvi02g00795	1.18483	1.35029	2.32723	0.413113	2.65995
Vitvi18g01284	120.496	111.36	160.59	120.361	146.847
Vitvi18g01285	211.328	685.216	252.891	135.688	70.1568
Vitvi18g01281	3.64626	40.7415	1.25861	3.75085	9.21816
Vitvi18g00159	8.01529	4.12101	7.38606	86.8441	10.4859
Vitvi18g00158	1041.65	1203.64	1489.48	622.454	1602.22
Vitvi18g00157	533.31	515.693	519.785	487.72	527.237
Vitvi18g00156	3.75618	0.695692	222.678	2.43785	13.6765
Vitvi18g00154	3.82973	28.8902	31.525	8.49235	43.0711
Vitvi18g00153	93.4008	138.135	96.0113	121.958	156.418
Vitvi18g00152	164.936	476.665	372.631	326.63	734.261
Vitvi18g00151	165.183	148.754	179.602	152.853	137.227
Vitvi18g00150	0.918897	8.09464	4.53137	5.9874	8.0728
Vitvi14g01358	3802.05	4227.25	3585.9	5829.65	3502.2
Vitvi14g01357	4.97594	3.42532	7.0166	4.73493	3.98233
Vitvi14g01352	0	0	1.67814	0	0
Vitvi13g00515	609.881	475.259	375.323	343.645	372.608
Vitvi13g00516	6.10395	2.34069	2.24517	4.7218	2.54668
Vitvi17g00238	1947.21	2130.14	1630.9	1650.51	1463.25
Vitvi09g01383	33.2653	42.1863	45.4261	60.5594	83.6717
Vitvi09g01380	0.387022	1.35029	2.23759	0	16.0897
Vitvi09g01389	2266.94	2161.01	2089.35	1908.81	2268.24
Vitvi09g01388	103.274	97.3449	87.7982	99.6936	125.28
Vitvi04g01105	0.652959	1.96379	0.798043	1.95107	4.09047
Vitvi04g01108	1.24166	0.347846	19.9831	2.78386	2.8865
Vitvi01g00513	91.2198	0.654598	159.514	195.213	95.2203
Vitvi18g00501	148.849	81.6592	147.72	78.8556	93.1152
Vitvi19g01032	10669.9	11832.1	24953	18705.5	7403.28
Vitvi18g00507	32.1005	39.5017	9.81975	10.8762	17.7237
Vitvi17g01186	8.53231	9.97415	3.46275	3.72711	4.83247
Vitvi17g01181	19.3593	26.5513	21.503	29.4357	15.8987
Vitvi17g01182	2.60441	0	1.83321	0	3.28868
Vitvi09g00472	2.45956	0	2.43516	1.17881	4.05613
Vitvi09g00473	27.6769	4.19115	2.69816	2.37075	3.75578
Vitvi09g00470	17.039	18.3072	2.13724	5.95052	6.75042
